date,cpi,pmi
2014-03-31,1.1049058680389967,7.5333333333333385
2014-04-30,1.5361413336205887,3.7933333333333383
2014-05-31,1.9623921590629534,8.636666666666672
2014-06-30,2.1363581534007636,13.193333333333337
2014-07-31,2.0754960061839745,21.29666666666667
2014-08-31,1.9965530842179113,19.856666666666673
2014-09-30,1.711411839799859,22.610000000000003
2014-10-31,1.6642209606277047,16.133333333333336
2014-11-30,1.6511108639672756,14.623333333333337
2014-12-31,1.2814432152730593,4.250000000000004
2015-01-31,0.6628473021475401,6.350000000000001
2015-02-28,-0.19181041815521382,5.500000000000003
2015-03-31,-0.07223100324613707,8.210000000000003
2015-04-30,-0.021205309809568806,4.496666666666669
2015-05-31,-0.10921097189299234,2.933333333333336
2015-06-30,0.03418442709433034,-0.026666666666664323
2015-07-31,0.18453915769249818,1.656666666666669
2015-08-31,0.21170390073905754,-4.346666666666664
2015-09-30,0.21987372003589023,-8.576666666666664
2015-10-31,-0.02524976223140518,-13.649999999999997
2015-11-30,0.12155472275849899,-12.256666666666666
2015-12-31,0.440381832983916,-8.896666666666663
2016-01-31,0.6614921027238374,-11.880000000000004
2016-02-29,1.341964810133045,-14.073333333333338
2016-03-31,0.9735998130960155,-11.796666666666672
2016-04-30,0.8738271594469493,-2.153333333333338
2016-05-31,1.1401499595676379,0.386666666666662
2016-06-30,1.0697580168526954,2.1833333333333287
2016-07-31,1.054657720608354,-0.8200000000000051
2016-08-31,0.8808163746035547,0.7833333333333282
2016-09-30,1.094643315397792,-1.8833333333333384
2016-10-31,1.4792264062756688,-4.3333333333333295
2016-11-30,1.644890291617096,-2.43333333333333
2016-12-31,1.69784559088888,1.233333333333337
2017-01-31,2.0966976277196014,5.433333333333334
2017-02-28,2.54172511402484,10.933333333333332
2017-03-31,2.795532530444733,13.866666666666665
2017-04-30,2.383252547484438,13.433333333333332
2017-05-31,2.1974986187151435,6.866666666666667
2017-06-30,1.8733132243213158,8.000000000000002
2017-07-31,1.6460836717505645,9.533333333333335
2017-08-31,1.7299018749635353,18.26666666666667
2017-09-30,1.9306207854768775,19.8
2017-10-31,2.226915512476868,26.599999999999998
2017-11-30,2.045975489668761,24.666666666666668
2017-12-31,2.2266813653235573,22.533333333333335
2018-01-31,2.11760926773219,19.399999999999995
2018-02-28,2.1378694248201047,16.799999999999994
2018-03-31,2.2601207691866465,17.766666666666662
2018-04-30,2.3572422112531966,17.13333333333333
2018-05-31,2.4278228664369683,19.466666666666665
2018-06-30,2.71574467736182,20.299999999999997
2018-07-31,2.7967643587726077,22.566666666666663
2018-08-31,2.8865523510047675,24.399999999999995
2018-09-30,2.684476192806051,22.399999999999995
2018-10-31,2.273612779635714,21.899999999999995
2018-11-30,2.53221024969279,21.13333333333333
2018-12-31,2.208875110645847,18.43333333333333
2019-01-31,1.9454640797063494,12.266666666666659
2019-02-28,1.5223959756352379,8.066666666666661
2019-03-31,1.5013895071159578,5.466666666666661
2019-04-30,1.863742394728618,7.533333333333327
2019-05-31,2.0011522027876927,10.533333333333326
2019-06-30,1.7989515092999842,6.433333333333326
2019-07-31,1.6608663104159538,4.499999999999992
2019-08-31,1.8140120907641943,0.1666666666666584
2019-09-30,1.7552078577412145,3.6999999999999917
2019-10-31,1.7253283599857117,3.599999999999992
2019-11-30,1.7710072232727025,2.9666666666666583
2019-12-31,2.047792372210777,3.4666666666666583
2020-01-31,2.2862976460393147,3.533333333333335
2020-02-29,2.482676697683628,7.000000000000003
2020-03-31,2.318104439116686,-1.2666666666666646
2020-04-30,1.5183297585548594,-28.933333333333334
2020-05-31,0.37616251475818263,-49.4
2020-06-30,0.23553202412538443,-42.300000000000004
2020-07-31,0.7094697770573477,-10.499999999999995
2020-08-31,1.0293376860207815,6.900000000000005
2020-09-30,1.321529181330816,12.633333333333338
2020-10-31,1.4092356377609638,10.400000000000004
2020-11-30,1.203596795073647,11.266666666666671
2020-12-31,1.1608694303090417,7.233333333333338
2021-01-31,1.288867220751877,4.900000000000005
2021-02-28,1.3699953998461467,6.833333333333338
2021-03-31,1.6756560442617419,11.000000000000005
2021-04-30,2.6373217462760223,18.600000000000005
2021-05-31,4.153135148638509,22.66666666666667
2021-06-30,4.926506786693863,22.66666666666667
2021-07-31,5.324507738590345,28.233333333333338
2021-08-31,5.282594236748084,26.233333333333338
2021-09-30,5.2024769662943005,31.866666666666674
2021-10-31,5.3773030071228245,24.13333333333334
2021-11-30,6.2435211278420555,28.33333333333334
2021-12-31,6.880468483522195,27.533333333333342
2022-01-31,7.123413365958098,20.700000000000006
2022-02-28,7.5259344012204465,11.433333333333339
2022-03-31,7.912024484898206,-3.133333333333326
2022-04-30,8.557586368232784,5.300000000000007
2022-05-31,8.224139288485999,0.40000000000000746
2022-06-30,8.516412942713858,3.933333333333341
2022-07-31,8.995220608588127,-0.5666666666666593
2022-08-31,8.482129735766986,-7.133333333333326
2022-09-30,8.24923469014105,-7.233333333333327
2022-10-31,8.222410234342536,-13.966666666666661
2022-11-30,7.76311508008245,-2.033333333333326
2022-12-31,7.117878531114008,-5.2666666666666595
2023-01-31,6.420682121616728,-13.199999999999994
2023-02-28,6.347156217821026,-16.633333333333322
2023-03-31,5.986437581251547,-21.099999999999994
2023-04-30,4.986920465297495,-6.533333333333324
2023-05-31,4.957191513836978,-15.19999999999999
2023-06-30,4.128843539283422,-4.799999999999991
2023-07-31,3.092003474389937,-8.033333333333324
2023-08-31,3.299075444289068,-3.7666666666666564
2023-09-30,3.7075037247731313,-5.333333333333323
2023-10-31,3.6899025086076342,-7.233333333333323
2023-11-30,3.232355773909612,2.1333333333333435
2023-12-31,3.1209184254415545,-3.3333333333333233
2024-01-31,3.2977691561590694,-16.366666666666656
2024-02-29,3.1059809026621865,-20.199999999999992
2024-03-31,3.1657429794798686,-22.333333333333325
2024-04-30,3.475131237075124,-12.533333333333323
2024-05-31,3.3577311967053047,-16.933333333333323
2024-06-30,3.2502101428971697,-11.966666666666656
2024-07-31,2.975628529981611,-9.39999999999999
2024-08-31,2.923565791719729,-5.766666666666658
2024-09-30,2.5912269299480206,0.06666666666667591
2024-10-31,2.4075134727031156,-1.699999999999991
2024-11-30,2.5763256387161038,10.266666666666675
2024-12-31,2.732579279536651,6.500000000000008
2025-01-31,2.8965932720523835,3.2333333333333325
2025-02-28,2.999412512831112,-1.5999999999999994
2025-03-31,2.8142703731568686,-8.966666666666667
2025-04-30,2.4055852640280317,-7.466666666666666
2025-05-31,2.3337465177498906,-12.433333333333332
2025-06-30,2.3759340869898393,-11.1
2025-07-31,2.6726833178446263,-6.5666666666666655
2025-08-31,2.7318012794754543,0.4666666666666674
2025-09-30,2.9392196249335534,2.900000000000001
2025-10-31,3.022699626172387,4.633333333333334
2025-11-30,3.022699626172387,6.900000000000001
2025-12-31,2.711969385272184,8.5
2026-01-31,2.653312468710922,5.833333333333333
2026-02-28,2.391201432150014,3.6999999999999997
2026-03-31,2.4340041103732224,4.866666666666667
2026-04-30,3.2859577528651984,5.966666666666666
2026-05-31,3.7792458367415627,10.133333333333333
